"","zip3","mean_flood_value","median_flood_value","max_flood_value","inundation_exposure","total_population","year","weighted_percent_wells"
"167","288",0.582828424089794,0.837640586630221,1,TRUE,133378,2020,0.635473509036727
"168","288",0.582828424089794,0.837640586630221,1,TRUE,138165,2021,0.635473509036727
"169","288",0.582828424089794,0.837640586630221,1,TRUE,137328,2022,0.635473509036727
"170","288",0.582828424089794,0.837640586630221,1,TRUE,139361,2023,0.635473509036727
"171","288",0.582828424089794,0.837640586630221,1,TRUE,139361,2024,0.635473509036727
"172","289",0.354073349714581,0.0443997977880124,0.856547215741176,FALSE,37931,2016,71.8250377073906
"173","289",0.354073349714581,0.0443997977880124,0.856547215741176,FALSE,38216,2017,71.8250377073906
"174","289",0.354073349714581,0.0443997977880124,0.856547215741176,FALSE,38437,2018,71.8250377073906
"175","289",0.354073349714581,0.0443997977880124,0.856547215741176,FALSE,38872,2019,71.8250377073906
"176","289",0.354073349714581,0.0443997977880124,0.856547215741176,FALSE,39436,2020,71.8250377073906
"177","289",0.354073349714581,0.0443997977880124,0.856547215741176,FALSE,39512,2021,71.8250377073906
"178","289",0.354073349714581,0.0443997977880124,0.856547215741176,FALSE,40054,2022,71.8250377073906
"179","289",0.354073349714581,0.0443997977880124,0.856547215741176,FALSE,40588,2023,71.8250377073906
"180","289",0.354073349714581,0.0443997977880124,0.856547215741176,FALSE,40588,2024,71.8250377073906
